CoC_Number,State,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Homeless_People_in_Families,Chronically_Homeless,Homeless_Veterans,Homeless_Unaccompanied_Youth_Under_18,Count_Year
FL-519,FL,Pasco County CoC,2593,141,37,0,178,2415,838,1755,847,220,49,2017
FL-519,FL,Pasco County CoC,3356,93,63,0,156,3200,1693,1663,1204,369,,2014
FL-519,FL,Pasco County CoC,4351,147,45,0,192,4159,1308,3043,1540,98,,2012
FL-520,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",635,176,106,0,282,353,444,191,40,57,3,2017
FL-520,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",711,324,125,0,449,262,426,285,36,45,0,2018
FL-520,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",709,185,118,0,303,406,438,271,46,49,,2013
FL-520,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",731,191,76,0,267,464,486,245,38,62,0,2015
FL-520,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",595,186,117,0,303,292,414,181,33,49,0,2016
FL-520,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",1788,201,202,0,403,1385,1227,561,26,31,,2012
FL-520,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",511,193,117,0,310,201,347,164,10,27,,2014
FL-600,FL,Miami-Dade County CoC,4152,1669,1450,26,3145,1007,2720,1432,526,236,11,2015
FL-600,FL,Miami-Dade County CoC,4156,1965,1325,26,3316,840,2845,1311,732,317,,2014
FL-600,FL,Miami-Dade County CoC,3802,1470,1466,27,2963,839,2485,1317,618,253,,2013
FL-600,FL,Miami-Dade County CoC,3976,1713,1368,27,3108,868,2517,1459,601,265,,2012
FL-600,FL,Miami-Dade County CoC,4235,1963,1266,24,3253,982,3182,1053,472,157,46,2016
FL-600,FL,Miami-Dade County CoC,3516,1847,594,45,2486,1030,2425,1091,384,120,25,2018
FL-600,FL,Miami-Dade County CoC,3721,1928,755,27,2710,1011,2546,1175,309,167,6,2017
FL-601,FL,Ft Lauderdale/Broward County CoC,2302,813,673,34,1520,782,1844,458,430,210,14,2016
FL-601,FL,Ft Lauderdale/Broward County CoC,3183,774,1108,33,1915,1268,2627,556,760,370,,2012
FL-601,FL,Ft Lauderdale/Broward County CoC,2318,886,532,31,1449,869,1856,462,439,189,14,2018
FL-601,FL,Ft Lauderdale/Broward County CoC,2450,886,572,35,1493,957,2037,413,581,197,14,2017
FL-601,FL,Ft Lauderdale/Broward County CoC,2766,917,935,35,1887,879,2028,738,525,229,,2014
FL-601,FL,Ft Lauderdale/Broward County CoC,2615,874,888,34,1796,819,2099,516,444,247,41,2015
FL-601,FL,Ft Lauderdale/Broward County CoC,2810,778,1168,35,1981,829,1900,910,411,225,,2013
FL-602,FL,Punta Gorda/Charlotte County CoC,562,59,101,2,162,400,313,249,156,65,21,2015
FL-602,FL,Punta Gorda/Charlotte County CoC,388,57,75,2,134,254,223,165,76,65,0,2016
FL-602,FL,Punta Gorda/Charlotte County CoC,164,59,19,0,78,86,130,34,45,40,0,2018
FL-602,FL,Punta Gorda/Charlotte County CoC,511,72,127,4,203,308,265,246,156,63,,2014
FL-602,FL,Punta Gorda/Charlotte County CoC,222,66,23,0,89,133,165,57,33,55,0,2017
FL-602,FL,Punta Gorda/Charlotte County CoC,756,75,132,4,211,545,584,172,204,97,,2012
FL-602,FL,Punta Gorda/Charlotte County CoC,573,66,117,3,186,387,429,144,211,109,,2013
FL-603,FL,"Ft Myers, Cape Coral/Lee County CoC",871,249,178,0,427,444,700,171,281,120,,2014
FL-603,FL,"Ft Myers, Cape Coral/Lee County CoC",614,223,77,0,300,314,520,94,180,62,5,2015
FL-603,FL,"Ft Myers, Cape Coral/Lee County CoC",431,206,38,0,244,187,317,114,65,13,12,2017
FL-603,FL,"Ft Myers, Cape Coral/Lee County CoC",848,236,216,0,452,396,699,149,180,70,,2013
FL-603,FL,"Ft Myers, Cape Coral/Lee County CoC",439,205,51,0,256,183,310,129,90,19,10,2016
FL-603,FL,"Ft Myers, Cape Coral/Lee County CoC",781,184,226,0,410,371,637,144,182,82,,2012
FL-603,FL,"Ft Myers, Cape Coral/Lee County CoC",728,477,47,0,524,204,423,305,132,18,10,2018
FL-604,FL,Monroe County CoC,922,230,134,0,364,558,793,129,274,92,,2012
FL-604,FL,Monroe County CoC,631,218,121,0,339,292,581,50,83,87,11,2017
FL-604,FL,Monroe County CoC,652,225,122,0,347,305,585,67,173,108,,2013
FL-604,FL,Monroe County CoC,615,191,110,0,301,314,562,53,148,93,5,2015
FL-604,FL,Monroe County CoC,973,660,101,0,761,212,724,249,62,67,12,2018
FL-604,FL,Monroe County CoC,678,235,148,0,383,295,594,84,116,92,,2014
FL-604,FL,Monroe County CoC,575,186,119,0,305,270,497,78,126,87,5,2016
FL-605,FL,West Palm Beach/Palm Beach County CoC,1421,306,275,15,596,825,1220,201,452,157,35,2015
FL-605,FL,West Palm Beach/Palm Beach County CoC,1309,351,107,0,458,851,964,345,164,130,4,2018
FL-605,FL,West Palm Beach/Palm Beach County CoC,1559,259,337,16,612,947,1283,276,373,168,,2013
FL-605,FL,West Palm Beach/Palm Beach County CoC,1332,327,180,0,507,825,1008,324,459,115,2,2016
FL-605,FL,West Palm Beach/Palm Beach County CoC,1596,297,333,19,649,947,1327,269,396,151,,2014
FL-605,FL,West Palm Beach/Palm Beach County CoC,2116,350,353,16,719,1397,1667,449,456,186,,2012
FL-605,FL,West Palm Beach/Palm Beach County CoC,1607,347,179,0,526,1081,1281,326,252,65,8,2017
FL-606,FL,Naples/Collier County CoC,455,211,139,0,350,105,300,155,41,25,,2012
FL-606,FL,Naples/Collier County CoC,396,207,135,0,342,54,285,111,32,27,,2013
FL-606,FL,Naples/Collier County CoC,545,210,118,0,328,217,338,207,73,5,8,2016
FL-606,FL,Naples/Collier County CoC,361,198,128,0,326,35,281,80,37,22,,2014
FL-606,FL,Naples/Collier County CoC,389,211,134,0,345,44,293,96,39,5,2,2015
FL-606,FL,Naples/Collier County CoC,653,238,202,0,440,213,551,102,119,11,66,2018
FL-606,FL,Naples/Collier County CoC,621,244,190,0,434,187,502,119,90,9,0,2017
GA-500,GA,Atlanta CoC,4063,1782,1443,0,3225,838,3610,453,556,369,5,2016
GA-500,GA,Atlanta CoC,4797,1988,1434,0,3422,1375,4203,594,1341,477,,2014
GA-500,GA,Atlanta CoC,4317,1688,1592,0,3280,1037,3752,565,781,633,2,2015
GA-500,GA,Atlanta CoC,3076,1146,1190,0,2336,740,2536,540,335,399,9,2018
GA-500,GA,Atlanta CoC,5536,2564,1239,0,3803,1733,4956,580,1431,983,,2013
GA-500,GA,Atlanta CoC,6811,2315,2096,22,4433,2378,5458,1353,1709,1232,,2012
GA-500,GA,Atlanta CoC,3572,1567,1324,0,2891,681,3089,483,346,386,11,2017
GA-501,GA,Georgia Balance of State CoC,5797,1248,1031,0,2279,3518,3383,2414,931,553,4,2015
GA-501,GA,Georgia Balance of State CoC,11105,1129,1121,0,2250,8855,7872,3233,1795,850,,2012
GA-501,GA,Georgia Balance of State CoC,3716,1164,679,0,1843,1873,2219,1497,242,157,3,2017
GA-501,GA,Georgia Balance of State CoC,7577,1298,962,0,2260,5317,5264,2313,1127,564,,2014
GA-501,GA,Georgia Balance of State CoC,7651,1265,1069,0,2334,5317,5271,2380,1136,496,,2013
GA-501,GA,Georgia Balance of State CoC,3730,1228,629,0,1857,1873,2402,1328,266,167,3,2018
GA-501,GA,Georgia Balance of State CoC,5575,1042,1015,0,2057,3518,3392,2183,883,468,5,2016
GA-502,GA,Fulton County CoC,473,137,283,0,420,53,272,201,47,57,8,2015
GA-502,GA,Fulton County CoC,428,55,243,0,298,130,206,222,55,33,,2013
GA-502,GA,Fulton County CoC,477,57,317,0,374,103,232,245,50,78,,2014
GA-502,GA,Fulton County CoC,483,139,283,0,422,61,282,201,28,57,0,2016
GA-502,GA,Fulton County CoC,222,71,63,0,134,88,115,107,86,12,15,2018
GA-502,GA,Fulton County CoC,293,85,118,0,203,90,217,76,2,19,2,2017
GA-503,GA,Athens-Clarke County CoC,212,166,0,0,166,46,128,84,37,14,0,2018
GA-503,GA,Athens-Clarke County CoC,226,127,8,0,135,91,188,38,32,20,0,2015
GA-503,GA,Athens-Clarke County CoC,361,54,84,0,138,223,273,88,71,29,,2012
GA-503,GA,Athens-Clarke County CoC,247,106,54,0,160,87,200,47,42,15,,2014
GA-503,GA,Athens-Clarke County CoC,239,145,1,0,146,93,182,57,53,9,0,2017
GA-503,GA,Athens-Clarke County CoC,224,141,7,0,148,76,156,68,49,14,0,2016
GA-503,GA,Athens-Clarke County CoC,213,91,27,0,118,95,171,42,67,15,,2013
GA-504,GA,Augusta-Richmond County CoC,246,144,55,0,199,47,217,29,30,44,0,2017
GA-504,GA,Augusta-Richmond County CoC,407,145,133,0,278,129,265,142,34,71,0,2015
GA-504,GA,Augusta-Richmond County CoC,269,172,50,0,222,47,238,31,18,29,0,2018
GA-504,GA,Augusta-Richmond County CoC,472,192,134,0,326,146,358,114,83,65,,2014
GA-504,GA,Augusta-Richmond County CoC,396,242,149,0,391,5,265,131,94,63,,2012
GA-504,GA,Augusta-Richmond County CoC,287,143,123,0,266,21,192,95,42,48,0,2016
GA-504,GA,Augusta-Richmond County CoC,476,163,167,0,330,146,313,163,62,42,,2013
GA-505,GA,Columbus-Muscogee/Russell County CoC,371,170,36,0,206,165,323,48,59,37,0,2015
GA-505,GA,Columbus-Muscogee/Russell County CoC,329,202,41,0,243,86,272,57,35,17,0,2016
GA-505,GA,Columbus-Muscogee/Russell County CoC,294,179,55,0,234,60,246,48,58,42,,2013
GA-505,GA,Columbus-Muscogee/Russell County CoC,312,164,35,0,199,113,257,55,65,21,,2014
GA-505,GA,Columbus-Muscogee/Russell County CoC,333,224,54,0,278,55,236,97,29,34,,2012
GA-505,GA,Columbus-Muscogee/Russell County CoC,319,207,39,0,246,73,245,74,21,17,2,2017
GA-505,GA,Columbus-Muscogee/Russell County CoC,276,173,23,0,196,80,234,42,28,13,0,2018
GA-506,GA,Marietta/Cobb County CoC,405,133,181,0,314,91,205,200,43,21,0,2016
GA-506,GA,Marietta/Cobb County CoC,392,93,250,0,343,49,193,199,40,35,,2012
GA-506,GA,Marietta/Cobb County CoC,495,108,243,0,351,144,263,232,60,59,,2013
GA-506,GA,Marietta/Cobb County CoC,523,139,240,0,379,144,288,235,65,51,,2014
GA-506,GA,Marietta/Cobb County CoC,384,146,120,0,266,118,245,139,41,25,0,2018
GA-506,GA,Marietta/Cobb County CoC,403,166,119,0,285,118,236,167,53,21,0,2017
GA-506,GA,Marietta/Cobb County CoC,415,110,214,0,324,91,208,207,49,22,0,2015
GA-507,GA,Savannah/Chatham County CoC,1100,268,310,0,578,522,953,147,121,48,1,2015
GA-507,GA,Savannah/Chatham County CoC,1165,269,274,0,543,622,1052,113,131,68,,2013
GA-507,GA,Savannah/Chatham County CoC,1315,294,280,0,574,741,1170,145,150,44,,2014
GA-507,GA,Savannah/Chatham County CoC,1118,234,253,0,487,631,1066,52,105,54,,2012
GA-507,GA,Savannah/Chatham County CoC,1009,241,304,0,545,464,875,134,223,38,0,2018
GA-507,GA,Savannah/Chatham County CoC,1070,280,273,0,553,517,923,147,155,29,7,2016
GA-507,GA,Savannah/Chatham County CoC,926,244,319,0,563,363,751,175,234,38,10,2017
GA-508,GA,DeKalb County CoC,713,130,369,0,499,214,402,311,82,67,,2013
GA-508,GA,DeKalb County CoC,801,203,317,0,520,281,431,370,81,128,,2014
GA-508,GA,DeKalb County CoC,473,101,214,0,315,158,233,240,24,32,0,2016
GA-508,GA,DeKalb County CoC,460,99,176,0,275,185,266,194,47,21,0,2017
GA-508,GA,DeKalb County CoC,684,91,396,0,487,197,358,326,83,107,0,2015
GA-508,GA,DeKalb County CoC,321,91,87,0,178,143,170,151,46,8,2,2018
GU-500,GU,Guam CoC,1280,73,14,0,87,1193,306,974,153,23,1,2015
GU-500,GU,Guam CoC,1301,66,121,0,187,1114,255,1046,226,31,,2012
GU-500,GU,Guam CoC,854,124,3,0,127,727,209,645,66,14,2,2018
GU-500,GU,Guam CoC,1085,105,7,0,112,973,227,858,55,21,1,2016
GU-500,GU,Guam CoC,1356,57,69,0,126,1230,332,1024,67,36,,2014
GU-500,GU,Guam CoC,852,87,0,0,87,765,215,637,64,24,0,2017
GU-500,GU,Guam CoC,1271,60,68,0,128,1143,296,975,290,32,,2013
HI-500,HI,Hawaii Balance of State CoC,1779,244,410,0,654,1125,1159,620,395,160,,2013
HI-500,HI,Hawaii Balance of State CoC,2206,281,453,0,734,1472,1394,812,567,208,,2014
HI-500,HI,Hawaii Balance of State CoC,2717,262,551,0,813,1904,1744,973,666,225,3,2015
HI-500,HI,Hawaii Balance of State CoC,2261,283,502,0,785,1476,1423,838,641,166,2,2017
HI-500,HI,Hawaii Balance of State CoC,1893,257,434,0,691,1202,1121,772,345,140,,2012
HI-500,HI,Hawaii Balance of State CoC,2981,239,607,0,846,2135,1793,1188,859,257,3,2016
HI-500,HI,Hawaii Balance of State CoC,2035,485,220,0,705,1330,1226,809,597,125,1,2018
HI-501,HI,Honolulu City and County CoC,4903,995,1943,26,2964,1939,2563,2340,868,467,21,2015
HI-501,HI,Honolulu City and County CoC,4495,1043,1307,0,2350,2145,2905,1590,1117,407,10,2018
HI-501,HI,Honolulu City and County CoC,4940,987,1754,26,2767,2173,2797,2143,1090,413,23,2016
HI-501,HI,Honolulu City and County CoC,4556,982,2084,25,3091,1465,2196,2360,785,398,,2013
HI-501,HI,Honolulu City and County CoC,4959,1058,1552,25,2635,2324,3112,1847,1159,449,24,2017
HI-501,HI,Honolulu City and County CoC,4712,881,2173,25,3079,1633,2356,2356,734,385,,2014
HI-501,HI,Honolulu City and County CoC,4353,884,2126,25,3035,1318,2009,2344,604,367,,2012
IA-500,IA,"Sioux City/Dakota, Woodbury Counties CoC",288,171,115,0,286,2,159,129,17,12,0,2017
IA-500,IA,"Sioux City/Dakota, Woodbury Counties CoC",276,89,176,0,265,11,113,163,26,14,0,2015
IA-500,IA,"Sioux City/Dakota, Woodbury Counties CoC",348,168,171,0,339,9,163,185,17,15,0,2016
IA-500,IA,"Sioux City/Dakota, Woodbury Counties CoC",250,100,133,0,233,17,119,131,46,10,,2012
IA-500,IA,"Sioux City/Dakota, Woodbury Counties CoC",236,109,115,0,224,12,115,121,65,11,,2013
IA-500,IA,"Sioux City/Dakota, Woodbury Counties CoC",297,140,128,0,268,29,161,136,16,11,,2014
IA-500,IA,"Sioux City/Dakota, Woodbury Counties CoC",264,189,69,0,258,6,172,92,27,25,0,2018
IA-501,IA,Iowa Balance of State CoC,1923,758,1100,0,1858,65,822,1101,101,58,17,2016
IA-501,IA,Iowa Balance of State CoC,1860,736,1067,0,1803,57,818,1042,155,106,,2012
IA-501,IA,Iowa Balance of State CoC,1721,842,742,9,1593,128,927,794,133,79,9,2018
IA-501,IA,Iowa Balance of State CoC,1939,816,1058,0,1874,65,812,1127,112,100,,2014
IA-501,IA,Iowa Balance of State CoC,1975,737,1139,0,1876,99,821,1154,135,81,4,2015
IA-501,IA,Iowa Balance of State CoC,1920,710,1149,0,1859,61,833,1087,145,88,,2013
IA-501,IA,Iowa Balance of State CoC,1792,766,976,0,1742,50,807,985,107,81,8,2017
IA-502,IA,Des Moines/Polk County CoC,830,399,338,0,737,93,567,263,114,112,3,2015
IA-502,IA,Des Moines/Polk County CoC,818,328,416,0,744,74,509,309,106,101,,2012
IA-502,IA,Des Moines/Polk County CoC,764,450,193,14,657,107,612,152,110,92,3,2018
IA-502,IA,Des Moines/Polk County CoC,793,406,318,0,724,69,558,235,66,97,1,2016
IA-502,IA,Des Moines/Polk County CoC,928,384,483,0,867,61,576,352,117,130,,2013
IA-502,IA,Des Moines/Polk County CoC,676,436,188,0,624,52,534,142,75,78,4,2017
IA-502,IA,Des Moines/Polk County CoC,886,431,353,0,784,102,571,315,116,91,,2014
ID-500,ID,Boise/Ada County CoC,694,438,207,0,645,49,544,150,108,112,,2013
ID-500,ID,Boise/Ada County CoC,755,451,223,0,674,81,611,144,94,126,3,2015
ID-500,ID,Boise/Ada County CoC,867,477,265,0,742,125,680,187,140,157,8,2016
ID-500,ID,Boise/Ada County CoC,753,439,268,0,707,46,576,177,82,91,,2014
ID-500,ID,Boise/Ada County CoC,756,517,118,0,635,121,613,143,182,113,4,2018
ID-500,ID,Boise/Ada County CoC,833,579,143,0,722,111,671,162,327,124,2,2017
ID-500,ID,Boise/Ada County CoC,754,482,219,0,701,53,566,188,86,139,,2012
ID-501,ID,Idaho Balance of State CoC,1380,355,412,0,767,613,604,776,197,110,8,2016
ID-501,ID,Idaho Balance of State CoC,1214,288,493,0,781,433,609,605,166,121,,2012
ID-501,ID,Idaho Balance of State CoC,1204,424,252,0,676,528,638,566,109,104,5,2017
ID-501,ID,Idaho Balance of State CoC,1211,339,484,0,823,388,561,650,151,123,1,2015
ID-501,ID,Idaho Balance of State CoC,1256,437,217,0,654,602,684,572,142,102,7,2018
ID-501,ID,Idaho Balance of State CoC,1087,307,452,0,759,328,540,547,163,96,,2013
ID-501,ID,Idaho Balance of State CoC,1351,300,461,0,761,590,658,693,162,124,,2014
IL-500,IL,McHenry County CoC,196,60,133,0,193,3,123,73,43,57,,2012
IL-500,IL,McHenry County CoC,166,76,85,0,161,5,108,58,10,25,,2014
IL-500,IL,McHenry County CoC,154,48,102,0,150,4,102,52,7,24,0,2016
IL-500,IL,McHenry County CoC,185,63,117,0,180,5,111,74,9,25,,2013
IL-500,IL,McHenry County CoC,179,87,87,0,174,5,124,55,23,39,1,2018
IL-500,IL,McHenry County CoC,177,83,85,0,168,9,116,61,6,25,0,2015
IL-500,IL,McHenry County CoC,155,47,103,0,150,5,87,68,5,24,5,2017
IL-501,IL,"Rockford/Winnebago, Boone Counties CoC",327,146,152,0,298,29,197,130,31,20,10,2015
IL-501,IL,"Rockford/Winnebago, Boone Counties CoC",255,131,76,0,207,48,175,80,47,13,0,2016
IL-501,IL,"Rockford/Winnebago, Boone Counties CoC",291,183,76,0,259,32,178,113,31,23,0,2017
IL-501,IL,"Rockford/Winnebago, Boone Counties CoC",788,221,280,0,501,287,406,382,268,45,,2013
IL-501,IL,"Rockford/Winnebago, Boone Counties CoC",410,230,149,0,379,31,283,127,73,16,,2014
IL-501,IL,"Rockford/Winnebago, Boone Counties CoC",727,217,308,0,525,202,442,285,152,88,,2012
IL-501,IL,"Rockford/Winnebago, Boone Counties CoC",256,134,79,0,213,43,169,87,18,21,2,2018
IL-502,IL,"Waukegan, North Chicago/Lake County CoC",386,215,166,0,381,5,197,189,46,58,0,2015
IL-502,IL,"Waukegan, North Chicago/Lake County CoC",450,328,104,13,445,5,259,191,66,62,,2012
IL-502,IL,"Waukegan, North Chicago/Lake County CoC",228,125,76,0,201,27,122,106,18,8,0,2017
IL-502,IL,"Waukegan, North Chicago/Lake County CoC",277,165,88,0,253,24,161,116,33,13,0,2018
IL-502,IL,"Waukegan, North Chicago/Lake County CoC",299,159,121,0,280,19,143,156,32,11,0,2016
IL-502,IL,"Waukegan, North Chicago/Lake County CoC",409,213,176,15,404,5,206,203,31,70,,2014
IL-502,IL,"Waukegan, North Chicago/Lake County CoC",497,328,150,14,492,5,337,160,62,82,,2013
IL-503,IL,"Champaign, Urbana, Rantoul/Champaign County CoC",160,57,86,0,143,17,100,60,11,6,5,2017
IL-503,IL,"Champaign, Urbana, Rantoul/Champaign County CoC",163,10,143,0,153,10,125,38,5,18,5,2015
IL-503,IL,"Champaign, Urbana, Rantoul/Champaign County CoC",188,21,149,0,170,18,124,64,5,10,2,2016
IL-503,IL,"Champaign, Urbana, Rantoul/Champaign County CoC",209,42,141,0,183,26,134,75,25,25,,2012
IL-503,IL,"Champaign, Urbana, Rantoul/Champaign County CoC",188,109,70,0,179,9,121,67,9,7,2,2018
IL-503,IL,"Champaign, Urbana, Rantoul/Champaign County CoC",205,14,179,0,193,12,148,57,1,23,,2014
IL-503,IL,"Champaign, Urbana, Rantoul/Champaign County CoC",214,59,112,0,171,43,156,58,8,31,,2013
IL-504,IL,Madison County CoC,168,50,94,0,144,24,38,130,28,10,0,2015
IL-504,IL,Madison County CoC,146,95,0,0,95,51,88,58,22,5,3,2018
IL-504,IL,Madison County CoC,199,58,118,0,176,23,51,148,23,7,0,2016
IL-504,IL,Madison County CoC,176,77,78,0,155,21,51,125,28,10,0,2017
IL-504,IL,Madison County CoC,201,70,103,0,173,28,46,155,7,7,,2013
IL-504,IL,Madison County CoC,196,78,104,0,182,14,44,152,11,4,,2012
IL-504,IL,Madison County CoC,240,107,117,0,224,16,73,167,53,8,,2014
IL-506,IL,"Joliet, Bolingbrook/Will County CoC",290,160,82,0,242,48,195,95,17,23,0,2016
IL-506,IL,"Joliet, Bolingbrook/Will County CoC",282,143,108,0,251,31,185,97,24,18,0,2017
IL-506,IL,"Joliet, Bolingbrook/Will County CoC",288,152,129,0,281,7,184,104,17,30,,2013
IL-506,IL,"Joliet, Bolingbrook/Will County CoC",340,190,124,0,314,26,207,133,49,23,0,2015
IL-506,IL,"Joliet, Bolingbrook/Will County CoC",309,165,129,0,294,15,187,122,16,20,,2014
IL-506,IL,"Joliet, Bolingbrook/Will County CoC",291,135,147,0,282,9,164,127,15,24,,2012
IL-506,IL,"Joliet, Bolingbrook/Will County CoC",341,167,131,0,298,43,181,160,23,16,0,2018
IL-507,IL,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",400,291,72,3,366,34,248,152,54,37,0,2018
IL-507,IL,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",405,234,145,0,379,26,242,163,53,10,,2014
IL-507,IL,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",376,238,129,0,367,9,220,156,48,22,,2012
IL-507,IL,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",378,153,147,8,308,70,271,107,92,12,0,2016
IL-507,IL,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",396,261,109,0,370,26,252,144,52,26,,2013
IL-507,IL,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",451,242,141,0,383,68,262,189,76,29,0,2015
IL-507,IL,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",329,232,61,0,293,36,240,89,73,32,0,2017
IL-508,IL,"East St. Louis, Belleville/St. Clair County CoC",300,26,128,0,154,146,174,126,21,36,0,2017
IL-508,IL,"East St. Louis, Belleville/St. Clair County CoC",318,47,119,0,166,152,176,142,101,38,0,2015
IL-508,IL,"East St. Louis, Belleville/St. Clair County CoC",240,48,109,0,157,83,132,108,41,34,0,2016
IL-508,IL,"East St. Louis, Belleville/St. Clair County CoC",213,32,114,0,146,67,121,92,24,41,,2013
IL-508,IL,"East St. Louis, Belleville/St. Clair County CoC",451,59,107,0,166,285,193,258,70,67,,2012
IL-508,IL,"East St. Louis, Belleville/St. Clair County CoC",339,92,109,0,201,138,171,168,97,35,,2014
IL-508,IL,"East St. Louis, Belleville/St. Clair County CoC",250,55,105,0,160,90,124,126,26,29,0,2018
IL-509,IL,Dekalb City & County CoC,96,43,47,0,90,6,34,62,1,0,,2014
IL-509,IL,Dekalb City & County CoC,81,62,15,0,77,4,43,38,0,2,0,2016
IL-509,IL,Dekalb City & County CoC,107,57,47,0,104,3,46,61,0,0,,2013
IL-509,IL,Dekalb City & County CoC,101,85,14,0,99,2,45,56,0,1,0,2015
IL-509,IL,Dekalb City & County CoC,100,75,22,0,97,3,45,55,7,5,0,2018
IL-509,IL,Dekalb City & County CoC,125,65,47,0,112,13,51,74,2,2,,2012
IL-509,IL,Dekalb City & County CoC,90,72,15,0,87,3,51,39,0,2,0,2017
IL-510,IL,Chicago CoC,6287,1864,3424,40,5328,959,3738,2549,655,714,,2014
IL-510,IL,Chicago CoC,6710,1783,3165,40,4988,1722,4270,2440,1118,520,,2012
IL-510,IL,Chicago CoC,5889,1470,3137,39,4646,1243,3721,2168,343,601,4,2016
IL-510,IL,Chicago CoC,6786,1556,3136,39,4731,2055,4592,2194,1066,752,8,2015
IL-510,IL,Chicago CoC,5657,1368,2688,40,4096,1561,3724,1933,863,528,3,2017
IL-510,IL,Chicago CoC,6276,2058,2965,37,5060,1216,3923,2353,557,712,,2013
IL-510,IL,Chicago CoC,5450,3111,941,41,4093,1357,3553,1897,971,494,7,2018
IL-511,IL,Cook County CoC,873,511,246,24,781,92,559,314,134,50,1,2018
IL-511,IL,Cook County CoC,895,414,356,15,785,110,528,367,106,92,2,2015
IL-511,IL,Cook County CoC,780,443,222,23,688,92,508,272,107,53,0,2017
IL-511,IL,Cook County CoC,1242,430,564,15,1009,233,738,504,192,115,,2012
IL-511,IL,Cook County CoC,1182,468,549,14,1031,151,643,539,97,105,,2014
IL-511,IL,Cook County CoC,1242,506,570,15,1091,151,693,549,109,121,,2013
IL-511,IL,Cook County CoC,952,449,370,23,842,110,556,396,128,81,1,2016
IL-512,IL,Bloomington/Central Illinois CoC,536,274,130,16,420,116,353,183,62,15,,2013
IL-512,IL,Bloomington/Central Illinois CoC,669,438,96,19,553,116,219,450,59,52,,2014
IL-512,IL,Bloomington/Central Illinois CoC,433,282,98,12,392,41,253,180,52,21,28,2017
IL-512,IL,Bloomington/Central Illinois CoC,411,254,85,24,363,48,215,196,83,25,0,2016
IL-512,IL,Bloomington/Central Illinois CoC,387,285,77,0,362,25,248,139,43,10,23,2018
IL-512,IL,Bloomington/Central Illinois CoC,668,291,140,21,452,216,361,307,60,25,,2012
IL-512,IL,Bloomington/Central Illinois CoC,619,446,98,21,565,54,238,381,63,20,1,2015
IL-513,IL,Springfield/Sangamon County CoC,230,138,81,0,219,11,171,59,29,16,0,2017
IL-513,IL,Springfield/Sangamon County CoC,326,182,129,0,311,15,227,99,30,28,2,2015
IL-513,IL,Springfield/Sangamon County CoC,280,150,120,0,270,10,181,99,87,23,,2013
IL-513,IL,Springfield/Sangamon County CoC,251,114,128,0,242,9,160,91,97,18,,2012
IL-513,IL,Springfield/Sangamon County CoC,271,176,76,0,252,19,195,76,32,18,0,2018
IL-513,IL,Springfield/Sangamon County CoC,261,139,107,0,246,15,176,85,38,22,3,2016
IL-513,IL,Springfield/Sangamon County CoC,269,139,109,0,248,21,175,94,52,25,,2014
IL-514,IL,DuPage County CoC,555,175,350,0,525,30,204,351,37,14,8,2016
IL-514,IL,DuPage County CoC,641,168,440,0,608,33,286,355,113,31,,2012
IL-514,IL,DuPage County CoC,654,216,409,0,625,29,300,354,73,19,,2014
IL-514,IL,DuPage County CoC,665,215,421,0,636,29,295,370,74,19,,2013
IL-514,IL,DuPage County CoC,295,168,107,5,280,15,171,124,31,12,6,2018
IL-514,IL,DuPage County CoC,331,195,121,0,316,15,205,126,36,8,3,2017
IL-514,IL,DuPage County CoC,672,204,438,0,642,30,290,382,54,21,8,2015
IL-515,IL,South Central Illinois CoC,149,55,75,0,130,19,40,109,21,4,,2013
IL-515,IL,South Central Illinois CoC,124,74,50,0,124,0,33,91,12,0,,2012
IL-515,IL,South Central Illinois CoC,92,49,21,0,70,22,44,48,5,3,0,2018
IL-515,IL,South Central Illinois CoC,108,49,27,0,76,32,44,64,5,3,0,2017
IL-515,IL,South Central Illinois CoC,133,54,67,0,121,12,44,89,5,1,0,2016
IL-515,IL,South Central Illinois CoC,122,43,55,0,98,24,44,78,12,9,2,2015
IL-515,IL,South Central Illinois CoC,118,53,61,0,114,4,23,95,3,4,,2014
IL-516,IL,Decatur/Macon County CoC,247,115,75,0,190,57,144,103,69,12,,2013
